文件名,模态,真实攻击类型,攻击手法,预测攻击类型,是否预测正确,Confidence
Benign_20001.pcap,IPv4,Benign,,Benign,✓ 正确,0.9141
Benign_20002.pcap,IPv4,Benign,,Benign,✓ 正确,0.8789
Benign_20003.pcap,IPv4,Benign,,Benign,✓ 正确,0.9759
Benign_20004.pcap,IPv4,Benign,,Benign,✓ 正确,0.8945
Benign_20005.pcap,IPv4,Benign,,Benign,✓ 正确,0.9830
Benign_20006.pcap,IPv4,Benign,,Benign,✓ 正确,0.5941
Benign_20007.pcap,IPv4,Benign,,Benign,✓ 正确,0.9729
Benign_20008.pcap,IPv4,Benign,,Benign,✓ 正确,0.5888
Benign_20009.pcap,IPv4,Benign,,Benign,✓ 正确,0.9875
Benign_20010.pcap,IPv4,Benign,,Benign,✓ 正确,0.9864
Benign_20011.pcap,IPv4,Benign,,Benign,✓ 正确,0.9895
Benign_20012.pcap,IPv4,Benign,,Benign,✓ 正确,0.9006
Benign_20013.pcap,IPv4,Benign,,Benign,✓ 正确,0.8891
Benign_20014.pcap,IPv4,Benign,,Benign,✓ 正确,0.8360
Benign_20015.pcap,IPv4,Benign,,Benign,✓ 正确,0.8301
Benign_20016.pcap,IPv4,Benign,,Benign,✓ 正确,0.9093
Benign_20017.pcap,IPv4,Benign,,Benign,✓ 正确,0.9872
Benign_20018.pcap,IPv4,Benign,,Benign,✓ 正确,0.9781
Benign_20019.pcap,IPv4,Benign,,Benign,✓ 正确,0.8798
Benign_20020.pcap,IPv4,Benign,,Benign,✓ 正确,0.8597
Benign_20021.pcap,IPv4,Benign,,Benign,✓ 正确,0.8691
Benign_20022.pcap,IPv4,Benign,,Benign,✓ 正确,0.9688
Benign_20023.pcap,IPv4,Benign,,Benign,✓ 正确,0.9850
Benign_20024.pcap,IPv4,Benign,,Benign,✓ 正确,0.9834
Benign_20025.pcap,IPv4,Benign,,Benign,✓ 正确,0.9876
Benign_20026.pcap,IPv4,Benign,,Benign,✓ 正确,0.9836
Benign_20027.pcap,IPv4,Benign,,Benign,✓ 正确,0.8681
Benign_20028.pcap,IPv4,Benign,,Benign,✓ 正确,0.8814
Benign_20029.pcap,IPv4,Benign,,Benign,✓ 正确,0.9814
Benign_20030.pcap,IPv4,Benign,,Benign,✓ 正确,0.8742
Benign_20031.pcap,IPv4,Benign,,Benign,✓ 正确,0.8524
Benign_20032.pcap,IPv4,Benign,,Benign,✓ 正确,0.8587
Benign_20033.pcap,IPv4,Benign,,Benign,✓ 正确,0.9762
Benign_20034.pcap,IPv4,Benign,,Benign,✓ 正确,0.8826
Benign_20035.pcap,IPv4,Benign,,Benign,✓ 正确,0.8634
Benign_20036.pcap,IPv4,Benign,,Benign,✓ 正确,0.9877
Benign_20037.pcap,IPv4,Benign,,Benign,✓ 正确,0.9877
Benign_20038.pcap,IPv4,Benign,,Benign,✓ 正确,0.8565
Benign_20039.pcap,IPv4,Benign,,Benign,✓ 正确,0.8870
Benign_20040.pcap,IPv4,Benign,,Benign,✓ 正确,0.7984
Benign_20041.pcap,IPv4,Benign,,Benign,✓ 正确,0.9828
Benign_20042.pcap,IPv4,Benign,,Benign,✓ 正确,0.9226
Benign_20043.pcap,IPv4,Benign,,Benign,✓ 正确,0.8679
Benign_20044.pcap,IPv4,Benign,,Benign,✓ 正确,0.9879
Benign_20045.pcap,IPv4,Benign,,Benign,✓ 正确,0.9096
Benign_20046.pcap,IPv4,Benign,,DoS/DDoS,✗ 错误,0.9218
Benign_20047.pcap,IPv4,Benign,,Benign,✓ 正确,0.8640
Benign_20048.pcap,IPv4,Benign,,Benign,✓ 正确,0.9872
Benign_20049.pcap,IPv4,Benign,,Benign,✓ 正确,0.8986
Benign_20050.pcap,IPv4,Benign,,Benign,✓ 正确,0.8602
Benign_20051.pcap,IPv4,Benign,,Benign,✓ 正确,0.8601
Benign_20052.pcap,IPv4,Benign,,Benign,✓ 正确,0.9833
Benign_20053.pcap,IPv4,Benign,,Benign,✓ 正确,0.9800
Benign_20054.pcap,IPv4,Benign,,Benign,✓ 正确,0.8512
Benign_20055.pcap,IPv4,Benign,,Benign,✓ 正确,0.9738
Benign_20056.pcap,IPv4,Benign,,Benign,✓ 正确,0.8647
Benign_20057.pcap,IPv4,Benign,,Benign,✓ 正确,0.9828
Benign_20058.pcap,IPv4,Benign,,Benign,✓ 正确,0.8953
Benign_20059.pcap,IPv4,Benign,,Benign,✓ 正确,0.9827
Benign_20060.pcap,IPv4,Benign,,Benign,✓ 正确,0.9856
Benign_20061.pcap,IPv4,Benign,,Benign,✓ 正确,0.7184
Benign_20062.pcap,IPv4,Benign,,Benign,✓ 正确,0.9700
Benign_20063.pcap,IPv4,Benign,,Botnet,✗ 错误,0.9253
Benign_20064.pcap,IPv4,Benign,,Benign,✓ 正确,0.7914
Benign_20065.pcap,IPv4,Benign,,Benign,✓ 正确,0.9163
Benign_20066.pcap,IPv4,Benign,,Benign,✓ 正确,0.8660
Benign_20067.pcap,IPv4,Benign,,Benign,✓ 正确,0.8504
Benign_20068.pcap,IPv4,Benign,,Benign,✓ 正确,0.9841
Benign_20069.pcap,IPv4,Benign,,Benign,✓ 正确,0.9884
Benign_20070.pcap,IPv4,Benign,,Benign,✓ 正确,0.8544
Benign_20071.pcap,IPv4,Benign,,Benign,✓ 正确,0.8985
Benign_20072.pcap,IPv4,Benign,,Benign,✓ 正确,0.8859
Benign_20073.pcap,IPv4,Benign,,Benign,✓ 正确,0.9807
Benign_20074.pcap,IPv4,Benign,,Benign,✓ 正确,0.8614
Benign_20075.pcap,IPv4,Benign,,Benign,✓ 正确,0.8409
Benign_20076.pcap,IPv4,Benign,,Benign,✓ 正确,0.8595
Benign_20077.pcap,IPv4,Benign,,Benign,✓ 正确,0.8559
Benign_20078.pcap,IPv4,Benign,,Benign,✓ 正确,0.7844
Benign_20079.pcap,IPv4,Benign,,Benign,✓ 正确,0.8332
Benign_20080.pcap,IPv4,Benign,,Benign,✓ 正确,0.8628
Benign_20081.pcap,IPv4,Benign,,Benign,✓ 正确,0.5868
Benign_20082.pcap,IPv4,Benign,,Benign,✓ 正确,0.9797
Benign_20083.pcap,IPv4,Benign,,Benign,✓ 正确,0.8388
Benign_20084.pcap,IPv4,Benign,,Benign,✓ 正确,0.8967
Benign_20085.pcap,IPv4,Benign,,Benign,✓ 正确,0.9153
Benign_20086.pcap,IPv4,Benign,,Benign,✓ 正确,0.8596
Benign_20087.pcap,IPv4,Benign,,Benign,✓ 正确,0.9068
Benign_20088.pcap,IPv4,Benign,,Benign,✓ 正确,0.8655
Benign_20089.pcap,IPv4,Benign,,Benign,✓ 正确,0.8639
Benign_20090.pcap,IPv4,Benign,,Benign,✓ 正确,0.9825
Benign_20091.pcap,IPv4,Benign,,Benign,✓ 正确,0.8767
Benign_20092.pcap,IPv4,Benign,,Benign,✓ 正确,0.8546
Benign_20093.pcap,IPv4,Benign,,Benign,✓ 正确,0.9814
Benign_20094.pcap,IPv4,Benign,,Benign,✓ 正确,0.9653
Benign_20095.pcap,IPv4,Benign,,Benign,✓ 正确,0.9850
Benign_20096.pcap,IPv4,Benign,,Benign,✓ 正确,0.9849
Benign_20097.pcap,IPv4,Benign,,Benign,✓ 正确,0.9857
Benign_20098.pcap,IPv4,Benign,,Benign,✓ 正确,0.9749
Benign_20099.pcap,IPv4,Benign,,Benign,✓ 正确,0.5906
Benign_20100.pcap,IPv4,Benign,,Benign,✓ 正确,0.8847
Benign_20101.pcap,IPv4,Benign,,Benign,✓ 正确,0.9861
Benign_20102.pcap,IPv4,Benign,,Benign,✓ 正确,0.6247
Benign_20103.pcap,IPv4,Benign,,Benign,✓ 正确,0.9808
Benign_20104.pcap,IPv4,Benign,,Benign,✓ 正确,0.8319
Benign_20105.pcap,IPv4,Benign,,Benign,✓ 正确,0.9875
Benign_20106.pcap,IPv4,Benign,,Benign,✓ 正确,0.8845
Benign_20107.pcap,IPv4,Benign,,Benign,✓ 正确,0.9867
Benign_20108.pcap,IPv4,Benign,,Benign,✓ 正确,0.9746
Benign_20109.pcap,IPv4,Benign,,Benign,✓ 正确,0.9834
Benign_20110.pcap,IPv4,Benign,,Benign,✓ 正确,0.8605
Benign_20111.pcap,IPv4,Benign,,Benign,✓ 正确,0.9856
Benign_20112.pcap,IPv4,Benign,,Benign,✓ 正确,0.8929
Benign_20113.pcap,IPv4,Benign,,Benign,✓ 正确,0.9869
Benign_20114.pcap,IPv4,Benign,,Benign,✓ 正确,0.9865
Benign_20115.pcap,IPv4,Benign,,Benign,✓ 正确,0.9824
Benign_20116.pcap,IPv4,Benign,,Benign,✓ 正确,0.8609
Benign_20117.pcap,IPv4,Benign,,Benign,✓ 正确,0.8841
Benign_20118.pcap,IPv4,Benign,,Benign,✓ 正确,0.9857
Benign_20119.pcap,IPv4,Benign,,Benign,✓ 正确,0.8901
Benign_20120.pcap,IPv4,Benign,,Benign,✓ 正确,0.8833
Benign_20121.pcap,IPv4,Benign,,Benign,✓ 正确,0.9857
Benign_20122.pcap,IPv4,Benign,,Benign,✓ 正确,0.9886
Benign_20123.pcap,IPv4,Benign,,Benign,✓ 正确,0.9789
Benign_20124.pcap,IPv4,Benign,,Benign,✓ 正确,0.8579
Benign_20125.pcap,IPv4,Benign,,Benign,✓ 正确,0.9882
Benign_20126.pcap,IPv4,Benign,,Benign,✓ 正确,0.9109
Benign_20127.pcap,IPv4,Benign,,Benign,✓ 正确,0.9112
Benign_20128.pcap,IPv4,Benign,,Benign,✓ 正确,0.9852
Benign_20129.pcap,IPv4,Benign,,Benign,✓ 正确,0.9812
Benign_20130.pcap,IPv4,Benign,,Benign,✓ 正确,0.8566
Benign_20131.pcap,IPv4,Benign,,Benign,✓ 正确,0.9891
Benign_20132.pcap,IPv4,Benign,,Benign,✓ 正确,0.8652
Benign_20133.pcap,IPv4,Benign,,Benign,✓ 正确,0.8647
Benign_20134.pcap,IPv4,Benign,,Benign,✓ 正确,0.8606
Benign_20135.pcap,IPv4,Benign,,Benign,✓ 正确,0.8965
Benign_20136.pcap,IPv4,Benign,,Benign,✓ 正确,0.8585
Benign_20137.pcap,IPv4,Benign,,Benign,✓ 正确,0.9884
Benign_20138.pcap,IPv4,Benign,,Benign,✓ 正确,0.8734
Benign_20139.pcap,IPv4,Benign,,Benign,✓ 正确,0.8495
Benign_20140.pcap,IPv4,Benign,,Benign,✓ 正确,0.8753
Benign_20141.pcap,IPv4,Benign,,Benign,✓ 正确,0.5857
Benign_20142.pcap,IPv4,Benign,,Benign,✓ 正确,0.9764
Benign_20143.pcap,IPv4,Benign,,Benign,✓ 正确,0.9871
Benign_20144.pcap,IPv4,Benign,,Benign,✓ 正确,0.8624
Benign_20145.pcap,IPv4,Benign,,Benign,✓ 正确,0.8491
Benign_20146.pcap,IPv4,Benign,,Benign,✓ 正确,0.5882
Benign_20147.pcap,IPv4,Benign,,Benign,✓ 正确,0.8611
Benign_20148.pcap,IPv4,Benign,,Benign,✓ 正确,0.8633
Benign_20149.pcap,IPv4,Benign,,Benign,✓ 正确,0.8466
Benign_20150.pcap,IPv4,Benign,,Benign,✓ 正确,0.9894
Benign_20151.pcap,IPv4,Benign,,Benign,✓ 正确,0.9195
Benign_20152.pcap,IPv4,Benign,,Benign,✓ 正确,0.8571
Benign_20153.pcap,IPv4,Benign,,Benign,✓ 正确,0.9789
Benign_20154.pcap,IPv4,Benign,,Benign,✓ 正确,0.8482
Benign_20155.pcap,IPv4,Benign,,Benign,✓ 正确,0.8624
Benign_20156.pcap,IPv4,Benign,,Benign,✓ 正确,0.8559
Benign_20157.pcap,IPv4,Benign,,Benign,✓ 正确,0.9886
Benign_20158.pcap,IPv4,Benign,,Benign,✓ 正确,0.8955
Benign_20159.pcap,IPv4,Benign,,Benign,✓ 正确,0.9858
Benign_20160.pcap,IPv4,Benign,,Benign,✓ 正确,0.8670
Benign_20161.pcap,IPv4,Benign,,Benign,✓ 正确,0.9203
Benign_20162.pcap,IPv4,Benign,,Benign,✓ 正确,0.8937
Benign_20163.pcap,IPv4,Benign,,Benign,✓ 正确,0.9008
Benign_20164.pcap,IPv4,Benign,,Benign,✓ 正确,0.8846
Benign_20165.pcap,IPv4,Benign,,Benign,✓ 正确,0.8963
Benign_20166.pcap,IPv4,Benign,,Benign,✓ 正确,0.9123
Benign_20167.pcap,IPv4,Benign,,Benign,✓ 正确,0.8577
Benign_20168.pcap,IPv4,Benign,,Benign,✓ 正确,0.8594
Benign_20169.pcap,IPv4,Benign,,Benign,✓ 正确,0.8889
Benign_20170.pcap,IPv4,Benign,,Benign,✓ 正确,0.8376
Benign_20171.pcap,IPv4,Benign,,Benign,✓ 正确,0.8593
Benign_20172.pcap,IPv4,Benign,,Benign,✓ 正确,0.8845
Benign_20173.pcap,IPv4,Benign,,Benign,✓ 正确,0.9852
Benign_20174.pcap,IPv4,Benign,,Benign,✓ 正确,0.9798
Benign_20175.pcap,IPv4,Benign,,Benign,✓ 正确,0.8337
Benign_20176.pcap,IPv4,Benign,,Benign,✓ 正确,0.7463
Benign_20177.pcap,IPv4,Benign,,Benign,✓ 正确,0.8453
Benign_20178.pcap,IPv4,Benign,,Benign,✓ 正确,0.8804
Benign_20179.pcap,IPv4,Benign,,Benign,✓ 正确,0.6714
Benign_20180.pcap,IPv4,Benign,,Benign,✓ 正确,0.9816
Benign_20181.pcap,IPv4,Benign,,Benign,✓ 正确,0.9845
Benign_20182.pcap,IPv4,Benign,,Benign,✓ 正确,0.8074
Benign_20183.pcap,IPv4,Benign,,Benign,✓ 正确,0.9846
Benign_20184.pcap,IPv4,Benign,,Benign,✓ 正确,0.9802
Benign_20185.pcap,IPv4,Benign,,Benign,✓ 正确,0.9885
Benign_20186.pcap,IPv4,Benign,,Benign,✓ 正确,0.9816
Benign_20187.pcap,IPv4,Benign,,Benign,✓ 正确,0.5854
Benign_20188.pcap,IPv4,Benign,,Benign,✓ 正确,0.9861
Benign_20189.pcap,IPv4,Benign,,Benign,✓ 正确,0.9732
Benign_20190.pcap,IPv4,Benign,,Benign,✓ 正确,0.8581
Benign_20191.pcap,IPv4,Benign,,Benign,✓ 正确,0.9454
Benign_20192.pcap,IPv4,Benign,,Benign,✓ 正确,0.7850
Benign_20193.pcap,IPv4,Benign,,Benign,✓ 正确,0.9896
Benign_20194.pcap,IPv4,Benign,,Benign,✓ 正确,0.8027
Benign_20195.pcap,IPv4,Benign,,Benign,✓ 正确,0.7758
Benign_20196.pcap,IPv4,Benign,,Benign,✓ 正确,0.8570
Benign_20197.pcap,IPv4,Benign,,Benign,✓ 正确,0.9124
Benign_20198.pcap,IPv4,Benign,,Benign,✓ 正确,0.8917
Benign_20199.pcap,IPv4,Benign,,Benign,✓ 正确,0.8883
