文件名,模态,真实攻击类型,攻击手法,预测攻击类型,是否预测正确,Confidence
mpls_DoS_Slowloris_853.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9885
mpls_Infiltration_Dropbox_1975.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9359
ipv6_Infiltration_NMAP-Portscan_1170.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.957
ipv6_BruteForce_SSH-Patator_3466.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9584
mpls_Benign_9100.pcap,mpls,Benign,,Benign,? 正确,0.9606
ipv6_Botnet_Ares_2058.pcap,ipv6,Botnet,Ares,Botnet,? 正确,0.9022
mpls_DDoS_LOIC-UDP_950.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9839
mpls_DoS_Hulk_5362.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9903
mpls_Infiltration_NMAP-Portscan_4921.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9446
mpls_Infiltration_NMAP-Portscan_3666.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9738
DDoS_HOIC_2766.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9926
Infiltration_NMAP-Portscan_681.pcap,IPv4,Infiltration,NMAP-Portscan,Benign,? 错误,0.7251
geo_DoS_GoldenEye_16363.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_Botnet_Screenshots_503.pcap,ipv6,Botnet,Screenshots,Botnet,? 正确,0.9123
mpls_DoS_Slowloris_1128.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9947
mpls_DoS_Slowloris_3946.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
geo_DDoS_LOIC-UDP_2200.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9823
Benign_7794.pcap,IPv4,Benign,,Benign,? 正确,0.9616
DDoS_HOIC_4876.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9745
scion_Botnet_Screenshots_2838.pcap,scion,Botnet,Screenshots,Benign,? 错误,0.5617
ipv6_DoS_GoldenEye_22148.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9672
Benign_9425.pcap,IPv4,Benign,,Benign,? 正确,0.9765
DDoS_HOIC_68.pcap,IPv4,DDoS,HOIC,Benign,? 错误,0.8712
ipv6_DoS_GoldenEye_27112.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
mpls_Infiltration_NMAP-Portscan_2342.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9734
scion_Botnet_Screenshots_3115.pcap,scion,Botnet,Screenshots,Botnet,? 正确,0.9151
scion_Botnet_Ares_2079.pcap,scion,Botnet,Ares,Botnet,? 正确,0.9022
Infiltration_Dropbox_895.pcap,IPv4,Infiltration,Dropbox,Benign,? 错误,0.7969
ipv6_Botnet_Screenshots_2447.pcap,ipv6,Botnet,Screenshots,Botnet,? 正确,0.9333
BruteForce_FTP-Patator_900.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DDoS_LOIC-UDP_1419.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9825
Benign_10745.pcap,IPv4,Benign,,Benign,? 正确,0.9722
mpls_DoS_Slowloris_3327.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.993
ipv6_Benign_28329.pcap,ipv6,Benign,,Benign,? 正确,0.8072
DoS_GoldenEye_2786.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
mpls_Benign_5043.pcap,mpls,Benign,,Benign,? 正确,0.9742
scion_Infiltration_Dropbox_196.pcap,scion,Infiltration,Dropbox,Benign,? 错误,0.7991
geo_DoS_GoldenEye_14152.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_DDoS_HOIC_1298.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
ipv6_BruteForce_FTP-Patator_3260.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_DDoS_HOIC_2812.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9926
mpls_DDoS_LOIC-UDP_3083.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_DDoS_LOIC-HTTP_4906.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9633
mpls_DDoS_HOIC_3940.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
mpls_Botnet_Ares_2983.pcap,mpls,Botnet,Ares,Botnet,? 正确,0.9085
Infiltration_Dropbox_766.pcap,IPv4,Infiltration,Dropbox,Infiltration,? 正确,0.9629
geo_DoS_GoldenEye_12656.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
scion_BruteForce_SSH-Patator_3114.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9619
Benign_4469.pcap,IPv4,Benign,,Benign,? 正确,0.974
scion_BruteForce_FTP-Patator_166.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_Botnet_Screenshots_871.pcap,ipv6,Botnet,Screenshots,Botnet,? 正确,0.9144
mpls_DDoS_LOIC-UDP_3105.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
Benign_2580.pcap,IPv4,Benign,,Benign,? 正确,0.9764
geo_DoS_GoldenEye_14818.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9942
mpls_DDoS_LOIC-HTTP_2679.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
ipv6_BruteForce_SSH-Patator_4196.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9642
ipv6_BruteForce_SSH-Patator_675.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9475
scion_Benign_18156.pcap,scion,Benign,,Benign,? 正确,0.8377
scion_Infiltration_NMAP-Portscan_3601.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9496
DDoS_HOIC_4160.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
ipv6_Infiltration_NMAP-Portscan_2841.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9492
ipv6_BruteForce_SSH-Patator_2960.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9641
ipv6_DoS_GoldenEye_29573.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_DDoS_HOIC_1221.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9922
DDoS_LOIC-HTTP_890.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9567
Infiltration_NMAP-Portscan_934.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9614
scion_BruteForce_SSH-Patator_2958.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.961
scion_BruteForce_SSH-Patator_514.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9602
BruteForce_SSH-Patator_3643.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.965
scion_BruteForce_SSH-Patator_860.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9616
scion_Botnet_Ares_327.pcap,scion,Botnet,Ares,Botnet,? 正确,0.9158
DoS_GoldenEye_7271.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
DoS_GoldenEye_4082.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9907
geo_Benign_21646.pcap,geo,Benign,,Benign,? 正确,0.7858
geo_DoS_GoldenEye_17959.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
mpls_DoS_Hulk_6659.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.994
ipv6_Benign_440.pcap,ipv6,Benign,,Benign,? 正确,0.8183
scion_Benign_14937.pcap,scion,Benign,,Benign,? 正确,0.9746
DoS_GoldenEye_1251.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
mpls_DoS_Slowloris_3977.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9948
ipv6_BruteForce_SSH-Patator_3519.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9642
ipv6_Infiltration_NMAP-Portscan_1210.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9578
BruteForce_FTP-Patator_2039.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
geo_DoS_GoldenEye_14667.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.994
mpls_Benign_11991.pcap,mpls,Benign,,Benign,? 正确,0.798
mpls_Botnet_Screenshots_55.pcap,mpls,Botnet,Screenshots,Botnet,? 正确,0.9161
ipv6_BruteForce_FTP-Patator_2409.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_28528.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9949
ipv6_DDoS_LOIC-UDP_2124.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_DoS_GoldenEye_22049.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
scion_Infiltration_NMAP-Portscan_7.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9497
mpls_DDoS_LOIC-HTTP_1802.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9553
mpls_Infiltration_NMAP-Portscan_1170.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.957
DDoS_LOIC-HTTP_3772.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
ipv6_DoS_Hulk_2146.pcap,ipv6,DoS,Hulk,DoS/DDoS,? 正确,0.993
ipv6_DDoS_LOIC-UDP_3917.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
scion_Infiltration_Dropbox_3437.pcap,scion,Infiltration,Dropbox,Infiltration,? 正确,0.9694
ipv6_Infiltration_NMAP-Portscan_4673.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9492
scion_Botnet_Ares_2676.pcap,scion,Botnet,Ares,Botnet,? 正确,0.864
scion_Benign_17805.pcap,scion,Benign,,Benign,? 正确,0.9436
mpls_Botnet_Screenshots_2809.pcap,mpls,Botnet,Screenshots,Botnet,? 正确,0.9159
scion_BruteForce_FTP-Patator_3500.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
geo_DoS_GoldenEye_10942.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
mpls_Botnet_Screenshots_476.pcap,mpls,Botnet,Screenshots,Botnet,? 正确,0.85
ipv6_DoS_GoldenEye_22344.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.994
ipv6_DoS_GoldenEye_22979.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
scion_Benign_16756.pcap,scion,Benign,,Benign,? 正确,0.8042
geo_DoS_GoldenEye_19670.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
mpls_Infiltration_NMAP-Portscan_1693.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.855
geo_DoS_GoldenEye_11128.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
geo_Benign_14466.pcap,geo,Benign,,Benign,? 正确,0.7877
BruteForce_SSH-Patator_3457.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9646
BruteForce_FTP-Patator_2017.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DDoS_LOIC-UDP_2122.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
DoS_GoldenEye_1737.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9923
mpls_BruteForce_FTP-Patator_4833.pcap,mpls,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
BruteForce_SSH-Patator_660.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9578
mpls_Infiltration_Dropbox_2341.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9674
ipv6_DDoS_LOIC-UDP_4461.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9839
ipv6_Infiltration_NMAP-Portscan_3323.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9469
DDoS_HOIC_3426.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
ipv6_DDoS_LOIC-HTTP_3202.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
ipv6_DDoS_HOIC_712.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
scion_BruteForce_FTP-Patator_175.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_DDoS_LOIC-HTTP_4044.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
Infiltration_NMAP-Portscan_426.pcap,IPv4,Infiltration,NMAP-Portscan,Benign,? 错误,0.7967
DoS_GoldenEye_2.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9923
DoS_GoldenEye_6101.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9837
ipv6_Benign_27470.pcap,ipv6,Benign,,Benign,? 正确,0.8088
mpls_DoS_Slowloris_2692.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
Botnet_Ares_778.pcap,IPv4,Botnet,Ares,Botnet,? 正确,0.8876
mpls_Benign_4069.pcap,mpls,Benign,,Benign,? 正确,0.967
scion_Benign_16862.pcap,scion,Benign,,Benign,? 正确,0.8111
ipv6_DDoS_LOIC-HTTP_3180.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9561
ipv6_DoS_Hulk_2111.pcap,ipv6,DoS,Hulk,DoS/DDoS,? 正确,0.9947
mpls_DoS_Slowloris_4553.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9948
mpls_Benign_5875.pcap,mpls,Benign,,Benign,? 正确,0.9583
mpls_DoS_Slowloris_4228.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
